px(Higgs)  py(Higgs)  pz(Higgs)  energ(Higgs)  masa(Higgs)  px(cest_1)  py(cest_1)  pz(cest_1)  energ(cest_1)  masa(cest_1)  px(cest_2)  py(cest_2)  pz(cest_2)  energ(cest_2)  masa(cest_2)
101.268     37.2007     -101.592     178.774     99.9994     82.3496     70.4898     -74.1072     131.397     4.8     18.9188     -33.2891     -27.485     47.3767     4.8
-72.9615     78.981     224.212     268.016     100     -1.51804     44.7344     159.122     165.367     4.8     -71.4434     34.2466     65.0904     102.649     4.8
65.4368     -78.2213     243.544     282.337     100.001     -25.7717     -24.4086     76.8996     84.8325     4.8     91.2086     -53.8127     166.644     197.505     4.8
81.1339     -66.7879     -218.703     262.438     99.9975     25.9183     -74.8317     -172.369     189.752     4.8     55.2156     8.04376     -46.3337     72.6864     4.8
88.9727     51.8959     -437.204     460.17     100     26.4635     30.7899     -340.857     343.3     4.8     62.5093     21.106     -96.3466     116.87     4.8
-22.0673     110.221     -451.479     475.888     100.001     18.0962     88.6443     -382.359     392.946     4.8     -40.1635     21.5764     -69.1198     82.9411     4.8
98.0803     30.1733     -8.82172     143.556     100.002     10.5366     -16.4959     30.6462     36.6792     4.8     87.5437     46.6692     -39.4679     106.877     4.8
21.1522     -100.116     815.895     828.344     99.998     31.8092     0.852784     94.6119     99.935     4.8     -10.6571     -100.969     721.283     728.409     4.8
84.8757     -69.7151     131.043     198.084     100.005     38.975     -60.0841     15.6966     73.475     4.8     45.9007     -9.63101     115.346     124.609     4.8
-75.9904     68.9856     722.096     736.177     100.005     -93.9256     53.6011     671.025     679.701     4.8     17.9352     15.3845     51.0708     56.4767     4.8
-112.101     -16.0857     -148.704     211.987     99.9999     -67.7276     23.0612     -27.0863     76.6522     4.8     -44.3739     -39.1469     -121.618     135.335     4.8
-86.6964     67.4934     155.293     214.913     100.002     4.41374     -4.73809     -9.95171     12.8065     4.8     -91.1102     72.2315     165.244     202.107     4.8
-41.0261     -103.89     -99.5702     179.974     100     -29.2512     -122.906     -89.917     155.144     4.8     -11.7749     19.0166     -9.65313     24.8294     4.8
24.66     102.601     27.9924     148.053     100.005     55.9024     52.3731     -10.276     77.438     4.8     -31.2424     50.2278     38.2684     70.6147     4.8
-63.1941     -93.5922     23.751     152.699     99.9992     -63.3836     -62.4393     57.8718     106.247     4.8     0.189473     -31.1529     -34.1209     46.4523     4.8
55.2744     -88.6369     -1349.41     1357.14     99.9999     35.1344     -89.6993     -622.283     629.714     4.8     20.14     1.06234     -727.129     727.424     4.8
115.846     -26.9224     -355.175     387.678     99.9986     0.808014     -34.6893     -130.233     134.862     4.8     115.038     7.76687     -224.942     252.816     4.8
-98.1786     58.739     195.642     247.72     100.001     -49.3724     56.3873     181.81     196.711     4.8     -48.8063     2.35171     13.8318     51.0092     4.8
-102.27     36.8774     362.956     391.863     100.003     -114.445     45.2968     259.582     287.325     4.8     12.1754     -8.41945     103.374     104.538     4.8
97.557     -33.2577     -96.7625     173.167     100.002     71.6943     -1.70797     -108.769     130.371     4.8     25.8627     -31.5497     12.0063     42.7955     4.8
-55.3327     -104.569     838.411     852.602     100.003     13.9653     -5.17688     312.528     312.92     4.8     -69.298     -99.3925     525.883     539.682     4.8
-36.9476     111.034     71.2293     169.609     99.9992     5.67434     6.58552     54.5798     55.4758     4.8     -42.6219     104.448     16.6495     114.133     4.8
-34.2961     94.2162     -13.4594     142.245     99.9972     35.1964     29.1549     0.194932     45.9551     4.8     -69.4925     65.0613     -13.6543     96.2895     4.8
45.0885     91.3128     334.243     363.442     100.002     13.241     74.0025     311.278     320.264     4.8     31.8476     17.3102     22.9649     43.178     4.8
-13.3047     -100.501     323.368     353.333     99.998     -50.456     -33.6259     98.5734     115.829     4.8     37.1513     -66.8751     224.795     237.504     4.8
-2.96895     111.802     261.097     301.132     100.002     44.8069     33.6893     124.395     136.528     4.8     -47.7758     78.1125     136.701     164.604     4.8
-2.94003     -109.014     25.9914     150.219     99.9872     -44.9173     -91.2848     22.2042     104.243     4.8     41.9773     -17.7293     3.78724     45.9761     4.8
84.9478     -75.631     -106.026     184.87     99.9965     31.8161     22.4083     -20.431     44.2138     4.8     53.1318     -98.0393     -85.5951     140.656     4.8
-70.8076     82.8228     701.596     717.016     100.003     -9.68163     -15.7671     30.824     36.2698     4.8     -61.1259     98.59     670.772     680.746     4.8
77.7917     86.3925     -136.271     205.146     99.9997     5.37063     -4.42036     -71.6361     72.1329     4.8     72.4211     90.8128     -64.6344     133.013     4.8
66.9654     88.5935     -123.443     193.834     100.001     59.9142     2.42435     -32.9564     68.5912     4.8     7.05116     86.1692     -90.4864     125.242     4.8
-56.1721     90.6458     384.732     411.571     100.001     -53.1294     44.7597     340.627     347.672     4.8     -3.0427     45.8861     44.105     63.8991     4.8
-39.4709     -108.112     91.7441     177.939     99.9959     -71.334     -90.6028     74.8624     137.568     4.8     31.8631     -17.5092     16.8817     40.3715     4.8
-63.8886     91.0672     195.613     246.251     99.9999     14.3451     64.6233     77.2408     101.839     4.8     -78.2337     26.4439     118.373     144.412     4.8
25.5143     99.86     -82.8742     165.824     100.033     18.2337     -17.4922     -18.593     31.7362     4.8     7.28059     117.352     -64.2812     134.088     4.8
-57.2377     85.9406     238.004     278.042     99.9979     24.2897     -0.397984     45.7165     51.9921     4.8     -81.5274     86.3386     192.288     226.05     4.8
-4.32876     107.404     319.149     351.298     99.9984     -15.3645     114.498     316.659     337.108     4.8     11.0357     -7.09408     2.49025     14.19     4.8
96.8382     -40.0593     -364.051     391.808     99.9888     66.2334     -69.8665     -197.057     219.369     4.8     30.6048     29.8071     -166.994     172.439     4.8
