px(1)   py(1)   pz(1)   E(1)  px(2)   py(2)   pz(2)   E(2)
-13.5598     29.2688     24.2671     40.3661     -6.07577     13.6466     9.15269     17.519
6.61026     -10.9709     33.1655     35.5529     43.138     29.4993     125.928     136.341
7.9903     9.82897     19.8097     23.5134     47.1452     60.4639     140.828     160.347
28.9945     16.5027     -51.4672     61.3342     13.9726     8.55679     -24.7146     29.6527
7.49584     -11.9136     -0.960275     14.1083     -28.4511     -61.711     73.4015     100.027
11.4567     56.4229     -707.5     709.838     4.43017     28.2842     -380.898     381.972
-15.2357     -5.8371     -2.37783     16.4883     -15.0461     -6.26641     -3.35996     16.649
-35.8938     -86.5877     -20.3329     95.9126     -13.796     7.3012     6.489     16.9043
39.6637     -64.7552     47.2186     89.4206     9.88014     -14.8466     11.3094     21.1173
61.4825     6.89892     165.864     177.027     23.4266     2.60852     60.2115     64.6609
13.5792     -3.17923     57.8041     59.4627     18.2911     -6.40611     81.3033     83.5814
6.45611     37.9221     42.9686     57.6721     27.8789     7.89436     89.4955     94.0691
-62.6998     -6.35987     168.835     180.213     3.57306     -10.9922     30.5774     32.689
10.5282     0.822176     1.93319     10.7366     15.3697     0.353678     4.25688     15.9522
-37.345     -42.728     -213.801     221.204     -12.7958     -13.7521     -66.919     69.5055
-13.7277     -20.2278     31.9845     40.2569     9.81395     -7.46749     31.2766     33.6202
-18.3893     7.81316     -0.207352     19.9817     -10.5278     3.86542     -0.367213     11.2218
-2.24397     -24.7058     -102.269     105.235     -1.2209     -13.0923     -46.122     47.96
-11.9676     -37.5893     -73.4645     83.3859     -13.5682     -41.056     -73.4115     85.1994
-20.2071     -44.8655     -107.527     118.251     -12.0012     -22.2788     -54.7981     60.359
51.1861     10.5881     4.97048     52.5055     24.0332     4.95819     0.854258     24.5546
-20.8598     -29.0014     -82.2056     89.6324     -6.64679     -9.06911     -24.0158     26.5177
-54.0857     11.9976     365.621     369.795     -1.02069     -11.2139     23.606     26.1709
-16.4503     25.8949     -39.2569     49.8223     -9.19517     14.5969     -22.2114     28.1286
51.9499     -1.61524     -12.309     53.4126     5.33289     -25.2793     -23.6378     35.0175
15.9026     18.1894     -144.685     146.688     8.95729     -6.05037     -41.4789     42.8671
-5.29978     -14.8025     13.0493     20.4329     2.24767     -40.099     -36.5574     54.3086
23.9458     27.9716     96.2905     103.091     15.2732     -11.7901     14.0661     23.8775
