px(1)   py(1)   pz(1)   E(1)  px(2)   py(2)   pz(2)   E(2)
-26.2959     -42.468     -128.154     137.667     80.6186     -52.728     -697.013     703.658
32.7602     -34.5794     470.46     472.895     -2.29601     -60.0281     84.6057     104.097
-57.2783     16.3348     184.37     193.849     -10.4803     -96.2721     460.823     470.936
-28.4049     41.4566     -21.936     55.085     -70.6872     2.83871     -253.327     263.168
6.85369     -52.0617     2.14721     52.8881     -100.923     22.1237     -7.28226     104.251
26.4744     -72.4601     166.086     183.322     71.5494     41.6889     187.559     205.095
-45.3342     5.01388     -465.278     467.532     -30.1924     59.329     -116.183     134.099
-44.8581     -32.5523     11.2218     56.8416     -49.4355     67.0269     126.138     151.304
37.5075     -2.16055     -61.4103     72.2083     55.1103     -48.9187     50.2273     89.4047
-50.0024     -12.8044     -174.312     181.897     -0.195401     55.833     -96.6262     111.88
-32.4004     -24.5391     17.9699     44.752     -85.4603     17.3914     -138.899     164.19
31.6267     41.5812     59.2232     79.1536     70.409     -78.4659     100.385     146.072
39.9251     41.9328     426.75     430.727     -28.117     63.7936     125.015     143.196
6.2127     -56.1449     -97.1639     112.468     -98.8565     12.0883     -264.407     282.617
-13.713     -29.9261     -153.366     156.986     115.945     7.30868     -212.959     242.746
11.0061     30.5036     50.3373     60.1969     -117.107     -1.21911     38.0941     123.294
-67.8023     -30.6407     -96.4484     121.97     -18.775     79.9814     -123.024     148.053
-23.7592     -16.1385     76.8646     82.1252     45.6186     -93.6249     1162.87     1167.59
-35.366     -9.7485     195.582     199.077     -4.95767     -81.7213     92.4305     123.699
37.8659     59.1971     7.79896     70.9912     -59.4416     56.4648     -79.8596     114.594
-50.1631     40.4548     -71.3836     96.3431     -60.5415     -47.6929     -301.006     310.777
-42.1325     -6.57141     17.5193     46.331     61.7353     -105.303     92.2666     153.131
-16.5415     13.8834     17.7252     28.0106     75.8231     -115.383     132.896     191.796
9.80272     -17.7478     -12.288     23.792     -67.6307     120.937     -145.232     200.894
-14.7002     -24.6313     -295.182     296.624     -79.494     72.2357     -287.906     307.39
43.8996     -11.1173     -303.932     307.343     19.3517     -73.6374     -88.1716     116.829
9.18605     21.2848     -118.96     121.275     -51.6716     -124.505     -1139.59     1147.59
